antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({27}),frozenset({25}),0.3951011714589989,0.4078807241746539,0.18210862619808307,0.46091644204851756,1.1300275171894465,0.020954474261132505,1.0983812566560172,0.19022321060868144
frozenset({25}),frozenset({28}),0.4078807241746539,0.3961661341853035,0.17358892438764642,0.42558746736292424,1.0742651393918976,0.012000394682671722,1.0512198663955852,0.11675199717526584
frozenset({28}),frozenset({25}),0.3961661341853035,0.4078807241746539,0.17358892438764642,0.4381720430107527,1.0742651393918976,0.012000394682671722,1.0539156488374584,0.1144869672477034
frozenset({25}),frozenset({29}),0.4078807241746539,0.4185303514376997,0.17784877529286475,0.4360313315926893,1.0418153189962729,0.007138312459383428,1.0310318305525974,0.06778529272390486
frozenset({29}),frozenset({25}),0.4185303514376997,0.4078807241746539,0.17784877529286475,0.42493638676844786,1.0418153189962729,0.007138312459383428,1.0296587407051376,0.06902678160163207
frozenset({25}),frozenset({30}),0.4078807241746539,0.4206602768903088,0.18743343982960597,0.4595300261096606,1.0924017582708134,0.015854221460076395,1.0719184248841147,0.14285276324395046
frozenset({30}),frozenset({25}),0.4206602768903088,0.4078807241746539,0.18743343982960597,0.4455696202531646,1.0924017582708134,0.015854221460076395,1.0679776892740263,0.14600392713903762
frozenset({26}),frozenset({27}),0.3844515441959531,0.3951011714589989,0.16080937167199147,0.4182825484764543,1.0586720027476835,0.008912116190949282,1.0398498909681018,0.09003414377048043
frozenset({27}),frozenset({26}),0.3951011714589989,0.3844515441959531,0.16080937167199147,0.40700808625336926,1.0586720027476835,0.008912116190949282,1.0380385322877337,0.0916192519354537
frozenset({26}),frozenset({28}),0.3844515441959531,0.3961661341853035,0.16826411075612355,0.43767313019390586,1.1047716915378432,0.01595742871044245,1.0738129337886968,0.15406683894704595
frozenset({28}),frozenset({26}),0.3961661341853035,0.3844515441959531,0.16826411075612355,0.424731182795699,1.1047716915378432,0.01595742871044245,1.0700188110238573,0.1570557899671827
frozenset({26}),frozenset({29}),0.3844515441959531,0.4185303514376997,0.17252396166134185,0.4487534626038781,1.0722124717176629,0.011619321758243262,1.0548268499044744,0.10941304626425741
frozenset({29}),frozenset({26}),0.4185303514376997,0.3844515441959531,0.17252396166134185,0.41221374045801523,1.0722124717176629,0.011619321758243262,1.0472317884458462,0.11582553249219925
frozenset({26}),frozenset({30}),0.3844515441959531,0.4206602768903088,0.1799787007454739,0.4681440443213296,1.1128791332094392,0.018255207713097465,1.0892793752218672,0.16477959091746697
frozenset({30}),frozenset({26}),0.4206602768903088,0.3844515441959531,0.1799787007454739,0.4278481012658228,1.1128791332094394,0.018255207713097465,1.0758479647902592,0.17507831534980867
frozenset({27}),frozenset({28}),0.3951011714589989,0.3961661341853035,0.1597444089456869,0.40431266846361186,1.0205634292670203,0.0032187052366905167,1.0136758561866623,0.033309859154929566
frozenset({28}),frozenset({27}),0.3961661341853035,0.3951011714589989,0.1597444089456869,0.4032258064516129,1.0205634292670203,0.0032187052366905167,1.0136142532308667,0.03336860670194003
frozenset({27}),frozenset({29}),0.3951011714589989,0.4185303514376997,0.17784877529286475,0.4501347708894879,1.0755128495298452,0.012486943148683094,1.0574766647873206,0.1160706755503079
frozenset({29}),frozenset({27}),0.4185303514376997,0.3951011714589989,0.17784877529286475,0.42493638676844786,1.0755128495298452,0.012486943148683094,1.0518815912239534,0.12074751595709687
frozenset({28}),frozenset({29}),0.3961661341853035,0.4185303514376997,0.1799787007454739,0.4543010752688172,1.085467454649922,0.014171149377183945,1.0655502919466786,0.1303966688582074
frozenset({29}),frozenset({28}),0.4185303514376997,0.3961661341853035,0.1799787007454739,0.4300254452926208,1.085467454649922,0.014171149377183945,1.0594049520766773,0.13541192535275381
frozenset({28}),frozenset({30}),0.3961661341853035,0.4206602768903088,0.19808306709265175,0.5,1.188607594936709,0.03143171139169873,1.1586794462193823,0.26278659611992944
frozenset({30}),frozenset({28}),0.4206602768903088,0.3961661341853035,0.19808306709265175,0.4708860759493671,1.188607594936709,0.03143171139169873,1.1412171148172494,0.2738970588235294
frozenset({29}),frozenset({30}),0.4185303514376997,0.4206602768903088,0.19275825346112885,0.460559796437659,1.094849743936612,0.016699159938347835,1.0739646753873047,0.1489891324145467
frozenset({30}),frozenset({29}),0.4206602768903088,0.4185303514376997,0.19275825346112885,0.4582278481012658,1.0948497439366123,0.016699159938347835,1.0732734167388254,0.14953688657783548
